evidence_tier,evidence_label,sample_index,raw_row_id,host,dopant,defecttype,common_pair_fold_stratum,host_oof_fold,impurity_oof_fold,host_identity_novelty,impurity_identity_novelty,host_identity_novelty_robust_z,impurity_identity_novelty_robust_z,novelty_gap,host_minus_impurity_absolute_error_eV
canonical,CANONICAL — REPAIRED G2 OOF,8019,13481,TaS2,N,interstitial,1,4,4,0.00010407586548808468,1.2333048881688022,-0.9061170471335233,0.9237269089981913,-1.8298439561317146,-1.3153607168393848
canonical,CANONICAL — REPAIRED G2 OOF,8020,13482,ZrS2,Be,adsorbate,2,0,2,1.852521196202753,2.139946854760519,-0.02286226411405961,3.235673605143459,-3.2585358692575186,0.25871904691060377
canonical,CANONICAL — REPAIRED G2 OOF,8021,13484,TiS2,Tl,adsorbate,0,1,1,1.8205313608422036,0.9704414163365221,-0.03811540271875255,0.25342224890783305,-0.2915376516265856,-0.23048218091328931
canonical,CANONICAL — REPAIRED G2 OOF,8022,13485,TiS2,Y,adsorbate,4,1,2,1.8205313608422036,1.098536754345055,-0.03811540271875255,0.5800667286617716,-0.6181821313805241,-0.07574176788330056
canonical,CANONICAL — REPAIRED G2 OOF,8023,13486,ZrS2,Ba,adsorbate,2,0,3,1.852521196202753,1.1435786611177314,-0.02286226411405961,0.694924071900182,-0.7177863360142416,0.0963629881540935
canonical,CANONICAL — REPAIRED G2 OOF,8024,13487,ZrS2,Cr,adsorbate,3,0,1,1.852521196202753,0.9251881178406561,-0.02286226411405961,0.13802585451799834,-0.16088811863205796,-0.09456507364908862
canonical,CANONICAL — REPAIRED G2 OOF,8025,13490,TaSe2,Fe,adsorbate,4,0,4,1.4056901068448444,0.8058456545866038,-0.235916706628235,-0.16629870114675707,-0.06961800548147792,0.09600512186686183
canonical,CANONICAL — REPAIRED G2 OOF,8026,13491,ZrS2,Co,interstitial,1,0,4,1.852521196202753,0.871060558416666,-0.02286226411405961,-5.662161136034022e-16,-0.022862264114059044,-0.18156647682189953
canonical,CANONICAL — REPAIRED G2 OOF,8027,13494,TaS2,Mo,adsorbate,2,4,1,0.00010407586548808468,0.5901272463492673,-0.9061170471335233,-0.7163829456439199,-0.18973410148960335,-0.25780312220255475
canonical,CANONICAL — REPAIRED G2 OOF,8028,13499,TaS2,Mn,adsorbate,4,4,1,0.00010407586548808468,0.897194107731093,-0.9061170471335233,0.06664082981198112,-0.9727578769455044,-0.7016847685585302
canonical,CANONICAL — REPAIRED G2 OOF,8029,13500,ZrS2,As,interstitial,4,0,4,1.852521196202753,0.807382760865409,-0.02286226411405961,-0.16237906372222102,0.1395167996081614,-0.22868911159992322
canonical,CANONICAL — REPAIRED G2 OOF,8030,13501,TaS2,Ti,adsorbate,3,4,3,0.00010407586548808468,0.7269204198923978,-0.9061170471335233,-0.3675588923992218,-0.5385581547343015,0.4851828416188557
