evidence_tier,evidence_label,sample_index,raw_row_id,defecttype,env_zero_neighbor_mode,oof_inference_batch_size,model_edge_zero_defect_neighbor_5A,e_module_oof_batch_activation_verified,legacy_zero_neighbor_oof_batch_evidence,legacy_zero_neighbor_min_positive_defect_edge_rows,legacy_zero_neighbor_min_total_defect_center_edges,zero_neighbor_imputed_features,remaining_missing_features,outcome_finite,primary_analysis_included
canonical,CANONICAL — REPAIRED G2 OOF,174,254,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,175,255,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,176,256,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,177,257,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,178,258,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,179,259,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,180,260,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,181,261,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,182,262,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,183,263,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,184,264,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,185,265,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,186,266,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,187,267,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,188,270,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,189,271,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,190,272,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,191,273,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,192,275,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,193,276,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,194,277,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,195,281,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,196,282,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,197,283,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,198,284,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,199,285,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,200,288,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,201,289,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,202,290,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,203,291,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,204,292,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,205,293,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,207,296,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,208,298,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,209,299,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,210,301,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,211,302,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,212,303,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,213,304,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,214,306,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,215,307,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,216,308,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,217,310,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,218,311,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,219,312,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,220,313,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,221,314,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,222,316,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,223,317,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,224,318,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,225,319,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,226,320,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,227,322,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,228,324,adsorbate,zero_residual_v1,64,0,1,,,,,,1,1
canonical,CANONICAL — REPAIRED G2 OOF,229,325,interstitial,zero_residual_v1,64,0,1,,,,,,1,1
