rank,host,dopant,defect_type,natoms,predicted_Ef_eV,calibrated_sigma_eV,adversarial_score,extreme,score
104,Ti2CO2,Hf,interstitial,81,0.7064,4.8222,0.3687,N,0.3318
105,Bi2I6,Co,interstitial,33,4.0153,5.4905,0.4257,N,0.3313
106,SnS2,In,interstitial,28,0.1506,5.5792,0.4333,N,0.3302
107,W2Te4,La,interstitial,55,2.1145,5.2024,0.4011,N,0.3300
108,SnS2,Cu,interstitial,28,-0.2245,4.7612,0.3635,N,0.3250
109,V2CO2,Pb,interstitial,81,1.6075,5.2769,0.4075,N,0.3236
110,BiITe,La,interstitial,28,8.8067,10.5681,0.8594,Y,0.3229
111,BiITe,Sb,interstitial,28,8.2226,8.8702,0.7144,Y,0.3207
112,MoSe2,Bi,interstitial,49,3.2672,4.7922,0.3661,N,0.3196
113,Ti2CO2,Re,interstitial,81,3.4094,3.4348,0.2502,N,0.3190
114,C2H2,La,interstitial,65,5.8276,7.2104,0.5726,Y,0.3170
115,Ti2CO2,I,interstitial,81,2.3166,4.4744,0.3390,N,0.3140
116,Nb4C3,Na,interstitial,113,3.6152,4.7567,0.3631,N,0.3139
117,Bi2I6,Cr,interstitial,33,4.2843,5.1389,0.3957,N,0.3133
118,HfSe2,La,interstitial,28,3.2031,4.2352,0.3185,N,0.3063
119,Nb4C3,Pb,interstitial,113,4.6085,5.0838,0.3910,N,0.3060
120,Bi2I6,Ni,interstitial,33,2.3621,4.9958,0.3835,N,0.3059
121,ZrSe2,Bi,interstitial,28,1.9062,4.4647,0.3381,N,0.3028
122,Ti2CO2,Pt,interstitial,81,2.2432,4.2458,0.3194,N,0.3023
123,Ti2CO2,Br,interstitial,81,2.1903,4.2266,0.3178,N,0.3013
124,BiITe,V,interstitial,28,5.7731,8.4593,0.6793,Y,0.2997
125,Bi2I6,Ca,interstitial,33,2.6990,4.5451,0.3450,N,0.2982
126,Ge2H2,La,interstitial,37,1.8996,2.9113,0.2055,N,0.2967
127,Bi2I6,O,interstitial,33,2.1416,4.4804,0.3395,N,0.2949
128,BiITe,Nb,interstitial,28,5.9626,9.0092,0.7263,Y,0.2942
