split,metric,term,definition,repeat_effects,mean,std,ci_low,ci_high,n_paired_repeats
validation,mae,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.015833262588333008, -0.014937360854800297, -0.01827281749354337, -0.020758546901130548, -0.019025862614265143]",-0.017765570090414472,0.002373611548155716,-0.01956832730486695,-0.015934241553399807,5
test,bias,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.006628119118169372, 0.018156369439784152, 0.008203205445877854, 0.0272786339357102, 0.02425488771348172]",0.01690424313060466,0.009280821113524424,0.00956380371357572,0.0242446825476336,5
test,bias,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.018761804784381383, 0.0005930505132162437, -0.0008274412050275175, -0.005777103810016702, -0.007063409712307608]",0.00113738011404916,0.010366293988242594,-0.005301693649935228,0.010220272211268738,5
test,bias,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.00264996989381628, -0.009006546477068902, -0.017766787655076208, 0.003907494239676609, 0.009629198678660827]",-0.0031773222215247905,0.010739088175813117,-0.011679883040524183,0.004884683188571719,5
test,bias,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0022904996997799715, 0.003930599196565466, -0.0024985952752543082, -0.0030625217820891906, -0.010110660236718486]",-0.002806335559455298,0.004979103106862496,-0.007065834252132815,0.00124613610647058,5
test,bias,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.001971935188781946, -0.0023003705027982058, -0.003548954559794152, -0.002744452228527497, -0.018626541132334973]",-0.005838450722447355,0.007173176243885798,-0.012280102629116203,-0.00225781272233756,5
test,bias,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.00036427364088340367, -0.012329747862130664, 0.0063380111056222516, -0.021911570461847444, 0.003597859559054478]",-0.004933944260036956,0.011870849233622421,-0.014893319937723703,0.003901493537694011,5
test,bias,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.009963299055835952, 0.008053231361674424, -0.01396133050774083, -0.0015913884311127835, -0.015500867151211899]",-0.006592730756845408,0.009804712112091505,-0.01377753887474828,0.0017213950292339318,5
test,spearman,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0038171409346287044, 0.005420669774671261, 0.0027858127876596583, 0.004659885038335809, 0.005855566848432692]",0.004507815076745625,0.0012364451529520855,0.003519049814455788,0.005442471656908743,5
test,spearman,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0010194525425966106, -0.004259326457416224, -0.00019106328658091698, -0.0007928430270991438, 0.0022452990540584583]",-0.00039569623488824315,0.002454828960089863,-0.002510273971350241,0.0012707541178027082,5
test,spearman,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.003410338436005911, -0.0007097256839629917, 0.0038061227948474885, 0.0005955701276609826, 0.0031247214641163534]",0.002045405427733549,0.0019887722789635755,0.00037534630235558364,0.0035115287851646302,5
