evidence_tier,evidence_label,sample_index,raw_row_id,host,host_family,dopant,impurity_series,defecttype,site,natoms,target_eV,target_decile,pair_absolute_error_eV,extension_factor,abs_conv2,nonpathological_eligible,high_error_interstitial_pool_rank,bottom_quartile_adsorbate_pool_rank,xf_gt_2_pathology_rank,top_1pct_abs_conv2_pathology_rank,provenance_missing
canonical,CANONICAL — REPAIRED G2 OOF,9940,16596,Si2,elemental_hydrogenated,Ca,main_group,adsorbate,ads2,19,-1.0513150525000037,0,0.1738757920172156,1.032855097937745,0.00131275,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9941,16597,ZrSe2,chalcogenide,Sr,main_group,adsorbate,ads2,28,-2.033929602500022,0,0.06708432852846435,0.917635708949646,0.0012898,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9942,16598,Sn2,elemental_hydrogenated,Cl,main_group,adsorbate,ads0,19,-1.7571942999999992,0,0.14469740837402423,1.0014022907538942,0.00412729,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9943,16600,W2Se4,chalcogenide,Hg,5d,adsorbate,ads0,97,0.1656279349999457,1,0.0682113384528131,1.145907577870898,0.0006322319999999,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9944,16601,W2Te4,chalcogenide,Ru,4d,interstitial,int4,55,2.6036928549999896,5,0.8961478813891706,1.070039755721003,0.00123241,1,580,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9945,16602,W2Te4,chalcogenide,Sr,main_group,adsorbate,ads2,55,0.0810815174999974,1,0.015219561296389322,0.9283456638963766,2.05008e-05,1,,456,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9946,16604,ZrSe2,chalcogenide,Xe,main_group,adsorbate,ads2,28,0.0506538699999756,1,0.3410708259478516,1.4285047646014994,0.000372235,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9947,16605,Sn2,elemental_hydrogenated,Lu,f_block_other,adsorbate,ads2,19,-1.1333199449999976,0,0.9148846575244116,0.6074480830486136,0.00345342,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9948,16606,W2Te4,chalcogenide,Mg,main_group,adsorbate,int4,55,1.5945120949999818,4,0.0400595565096864,1.0890870934496035,0.12334,1,,1100,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9949,16608,Si2,elemental_hydrogenated,N,main_group,interstitial,ads2,19,3.894464380000008,7,1.7524827782849202,1.0478181812907266,0.0019594,1,218,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9950,16609,W2Te4,chalcogenide,Fe,3d,adsorbate,ads0,55,4.829269250000023,8,0.43996413525392963,0.999095445154708,0.00035121,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9951,16612,ZrSe2,chalcogenide,Y,4d,adsorbate,ads2,28,-1.457388190000014,0,0.8709640776800678,0.8470773656099467,9.38963e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9952,16613,W2Se4,chalcogenide,Ir,5d,adsorbate,ads1,97,5.3450107924999575,8,0.09872821498530904,0.9300668353886724,0.0003288069999999,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9953,16614,W2Se4,chalcogenide,Ti,3d,adsorbate,int4,97,1.5058474249999314,4,0.28827592803643043,1.140006563406596,0.000110297,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9954,16615,W2Se4,chalcogenide,Mn,3d,adsorbate,int4,97,2.0328388524999443,4,0.10510066280267871,1.099519733227334,0.00358661,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9956,16619,W2Te4,chalcogenide,Li,main_group,interstitial,int3,55,0.9133219000000292,3,1.5300456758636767,1.0219853810845012,0.00061647,1,280,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9957,16620,ZrSe2,chalcogenide,Os,5d,interstitial,int2,28,2.584102149999998,5,0.2067561111816385,1.073823180539893,0.00321844,1,2068,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9958,16623,Sn2,elemental_hydrogenated,Ge,main_group,adsorbate,ads2,19,0.4679629749999981,2,0.33844662239685247,1.2788191213311944,0.0171206,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9959,16624,Sn2,elemental_hydrogenated,Ni,3d,adsorbate,ads0,19,2.7845840249999987,6,0.232737759207152,0.9576472362525128,0.00249102,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9960,16625,W2Se4,chalcogenide,Pt,5d,adsorbate,ads0,97,3.5368685675000084,7,0.0873832655285729,0.9462437697549412,0.000124196,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9961,16626,W2Se4,chalcogenide,Al,main_group,adsorbate,ads2,97,1.3424222925000318,3,0.3486566087908618,1.0361783348677365,0.0023025,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9962,16628,Sn2,elemental_hydrogenated,Be,main_group,interstitial,int0,19,1.4421283050000002,3,0.8926774220050047,3.018850983711812,0.094632,0,,,137,,0
canonical,CANONICAL — REPAIRED G2 OOF,9963,16633,Si2,elemental_hydrogenated,Re,5d,interstitial,int1,19,1.6745480100000023,4,0.16455688082336195,1.5193729837725825,0.0174578,1,2241,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9964,16634,Si2,elemental_hydrogenated,I,main_group,adsorbate,ads2,19,-0.3322571050000047,1,0.007366584651484542,1.5703355817421871,0.00794572,1,,229,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9965,16638,W2Te4,chalcogenide,Mo,4d,interstitial,int3,55,7.612527530000026,9,1.7083727524731707,1.6227556349797492,0.00305641,1,229,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9966,16640,Si2,elemental_hydrogenated,Br,main_group,adsorbate,ads1,19,-0.8287073637499955,0,0.2753783200726363,1.2334358278403807,0.00225413,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9967,16641,ZrSe2,chalcogenide,C,main_group,interstitial,int2,28,3.218240337499976,6,1.0252576638549566,1.145211682429074,0.00462842,1,493,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9968,16642,W2Se4,chalcogenide,K,main_group,adsorbate,ads2,97,-1.3087457200000177,0,0.1990564843127618,0.9959477395512796,1.07108e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9969,16643,Si2,elemental_hydrogenated,H,main_group,adsorbate,ads0,19,-0.4358248325000016,1,0.8020474525103776,1.12739487957978,0.00448408,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9970,16644,W2Se4,chalcogenide,Hf,5d,adsorbate,ads1,97,4.648302260000007,8,0.09319048826049148,0.8838292618426526,0.0001219579999999,1,,,,,0
