model,regime,split_id,n_seeds,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
schnet,chemistry_block,chemistry_block_g6x3d,3,0.6254062651390356,1.2071050415941527,0.041168829793774765,0.9102366589096382,0.8202990253800184,0.5546639858315524,0.8714453663629534,0.19562202131367165,0.8961376141123308,0.8664741786290094
schnet,dopant_cv,dopant_cv5_f0,3,1.8198450008874207,2.3821447774240156,-0.07200645761285178,0.46736275027363927,0.43137544252466586,1.7132040559960726,2.227000286180266,0.30577968314997617,0.48479397493444326,0.5488109957230941
schnet,dopant_cv,dopant_cv5_f1,3,1.5594655098589676,2.269408949348458,0.394213609324818,0.5353144821209058,0.5053826445742117,1.8175942604575468,2.3823692561688987,-0.20834421005436768,0.4425703357439242,0.4318606100213065
schnet,dopant_cv,dopant_cv5_f2,3,1.6468461868100805,2.2096027978792194,0.4857161585042699,0.5343583162880645,0.5095798601564456,1.6477387897984055,2.3655768761784457,0.40763737025142865,0.49529716828364045,0.462966071771826
schnet,dopant_cv,dopant_cv5_f3,3,1.6808943664371878,2.519440987725092,-0.5579304812600637,0.5585206396403567,0.2762723167745783,1.7168668141082837,2.2333641525700707,0.8879163778172691,0.5688251795915399,0.4997490283034072
schnet,dopant_cv,dopant_cv5_f4,3,1.5238571652275053,1.9813778790279801,0.13234405046287598,0.5609610015556762,0.6426592922346877,1.8562512180871626,2.907519481678787,-1.2041013761825399,0.5809801469645176,0.03833868821287878
schnet,host_cv,host_cv5_f0,3,3.1844918946824214,4.536559039038008,1.750152610701517,0.33932879575559327,-1.700851747418395,4.092982285635932,6.392280244416077,3.568084354922121,0.3534760120584685,-4.472785255126888
schnet,host_cv,host_cv5_f1,3,4.240203906396078,5.837938045217874,3.129656378713964,0.313933754438888,-2.0723881125798127,9.206662380721015,14.337818919443123,-2.898573456354205,0.17981269754541326,-35.64402289347215
schnet,host_cv,host_cv5_f2,3,6.516680586380346,9.1422390801297,4.2203693066330805,0.1855833385282523,-6.291142677519112,5.830350750741594,9.042786917747579,3.753939267809699,0.22781916362889945,-6.09239043795161
schnet,host_cv,host_cv5_f3,3,4.599310750110258,7.279475570035927,2.697713230208004,0.3890148137758687,-5.365594367674565,6.068383783901304,11.334591028141892,4.200773081697705,0.2415239025015231,-16.226169988323367
